query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,2,1088,815,1903,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,3,1088,883,1971,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,4,1088,920,2008,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,5,1088,882,1970,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,6,1088,809,1897,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,7,1088,788,1876,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,8,1088,850,1938,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,9,1088,776,1864,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,10,1088,805,1893,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,1,1088,680,1768,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,2,1088,815,1903,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,3,1088,881,1969,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,4,1088,920,2008,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,5,1088,882,1970,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,6,1088,808,1896,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,7,1088,788,1876,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,8,1088,676,1764,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,9,1088,780,1868,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,10,1088,807,1895,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,1,1088,676,1764,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,2,1088,816,1904,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,3,1088,885,1973,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,4,1088,920,2008,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,6,1088,744,1832,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,7,1088,788,1876,likely gpt-4.1-mini
